form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,source,page,language_id
biate001,no_stem,1.sg,keima,keima,kei+ma,k ei m a,k ei + m a,unspecified,Lalhminghlui2025Biate,nopage,biate
biate002,no_stem,1.pl.excl,keimani,keimani,kei+ma+ni,k ei m a n i,k ei + m a + n i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate003,no_stem,1.pl.incl,eimani,eimani,ei+ma+ni,ei m a n i,ei + m a + n i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate004,no_stem,2.sg,naŋ,naŋ,naŋ,n a ŋ,n a ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate005,no_stem,2.pl,naŋni,naŋni,naŋ+ni,n a ŋ n i,n a ŋ + n i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate006,no_stem,2.pl,naŋmani,naŋmani,naŋ+ma+ni,n a ŋ m a n i,n a ŋ + m a + n i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate007,no_stem,3.sg,amaʔ,amaʔ,a+maʔ,a m a ʔ,a + m a ʔ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate008,no_stem,3.pl,anmani,anmani,an+ma+ni,a n m a n i,a n + m a + n i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate009,fe,1.sg.fut.aff,feŋ ki ti,Σ ki ti,Σ+ŋ+ki+ti,Σ ŋ k i t i,Σ + ŋ + k i + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate010,fe,1.pl.excl.fut.aff,feŋ kin ti,Σ kin ti,Σ+ŋ+ki+n+ti,Σ ŋ k i n t i,Σ + ŋ + k i + n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate011,fe,1.pl.incl.fut.aff,feŋ ei ti,Σ ei ti,Σ+ŋ+ei+ti,Σ ŋ ei t i,Σ + ŋ + ei + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate012,mu,1.sg.2.sg.fut.aff,la mu roŋ,la Σ roŋ,la+Σ+roŋ,l a Σ r o ŋ,l a + Σ + r o ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate013,mu,1.sg.2.pl.fut.aff,la mu roŋ,la Σ roŋ,la+Σ+roŋ,l a Σ r o ŋ,l a + Σ + r o ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate014,mu,1.pl.excl.2.sg.fut.aff,la mu roŋ uŋ,la Σ roŋ uŋ,la+Σ+roŋ+uŋ,l a Σ r o ŋ u ŋ,l a + Σ + r o ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate015,mu,1.pl.excl.2.pl.fut.aff,la mu roŋ uŋ,la Σ roŋ uŋ,la+Σ+roŋ+uŋ,l a Σ r o ŋ u ŋ,l a + Σ + r o ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate016,mu,1.sg.3.sg.fut.aff,la mu roŋ,la Σ roŋ,la+Σ+roŋ,l a Σ r o ŋ,l a + Σ + r o ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate017,mu,1.sg.3.pl.fut.aff,la mu roŋ,la Σ roŋ,la+Σ+roŋ,l a Σ r o ŋ,l a + Σ + r o ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate018,mu,1.pl.excl.3.sg.fut.aff,la mu roŋ uŋ,la Σ roŋ uŋ,la+Σ+roŋ+uŋ,l a Σ r o ŋ u ŋ,l a + Σ + r o ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate019,mu,1.pl.incl.3.sg.fut.aff,la mu rei,la Σ rei,la+Σ+rei,l a Σ r ei,l a + Σ + r ei,unspecified,Lalhminghlui2025Biate,nopage,biate
biate020,mu,1.pl.excl.3.pl.fut.aff,la mu roŋ uŋ,la Σ roŋ uŋ,la+Σ+roŋ+uŋ,l a Σ r o ŋ u ŋ,l a + Σ + r o ŋ + u ŋ,unspecified,Lalhminghlui2025Biate,nopage,biate
biate021,mu,1.pl.incl.3.pl.fut.aff,la mu rei,la Σ rei,la+Σ+rei,l a Σ r ei,l a + Σ + r ei,unspecified,Lalhminghlui2025Biate,nopage,biate
biate022,fe,2.sg.fut.aff,feŋ ni ti,Σ ni ti,Σ+ŋ+ni+ti,Σ ŋ n i t i,Σ + ŋ + n i + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate023,fe,2.pl.fut.aff,feŋ nin ti,Σ nin ti,Σ+ŋ+ni+n+ti,Σ ŋ n i n t i,Σ + ŋ + n i + n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate024,mu,2.sg.1.sg.fut.aff,ne muŋ ni ti,ne Σ ni ti,ne+Σ+ŋ+ni+ti,n e Σ ŋ n i t i,n e + Σ + ŋ + n i + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate025,mu,2.sg.1.pl.excl.fut.aff,ne muŋ ni ti,ne Σ ni ti,ne+Σ+ŋ+ni+ti,n e Σ ŋ n i t i,n e + Σ + ŋ + n i + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate026,mu,2.pl.1.sg.fut.aff,ne muŋ nin ti,ne Σ nin ti,ne+Σ+ŋ+ni+n+ti,n e Σ ŋ n i n t i,n e + Σ + ŋ + n i + n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate027,mu,2.pl.1.pl.excl.fut.aff,ne muŋ nin ti,ne Σ nin ti,ne+Σ+ŋ+ni+n+ti,n e Σ ŋ n i n t i,n e + Σ + ŋ + n i + n + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
biate028,mu,2.sg.3.sg.fut.aff,muŋ ni ti,Σ ni ti,Σ+ŋ+ni+ti,Σ ŋ n i t i,Σ + ŋ + n i + t i,unspecified,Lalhminghlui2025Biate,nopage,biate
